Running single thread with 1 workers
finished   (464-0:0) [] [ '464', '465' ]
finished   (216-1:0) [] [ '216', '207' ]
finished   (298-1:0) [] [ '298', '167' ]
finished   (157-1:0) [] [ '157', '230' ]
finished   (157-2:0) [] [ '157', '206' ]
finished   (424-1:0) [] [ '424', '428' ]
finished   (273-0:0) [] [ '273', '131' ]
finished   (466-0:0) [] [ '466', '273' ]
finished   (467-0:0) [] [ '467', '468' ]
finished   (293-1:0) [] [ '293', '167' ]
finished   (469-0:0) [] [ '469', '92' ]
finished   (470-0:0) [] [ '470', '471' ]
finished   (17-2:0) [] [ '17', '125' ]
finished   (39-3:0) [] [ '39', '167' ]
finished   (472-0:0) [] [ '472', '125' ]
finished   (352-0:0) [] [ '352', '92' ]
finished   (68-2:0) [] [ '68', '313' ]
finished   (295-1:0) [] [ '295', '167' ]
finished   (473-0:0) [] [ '473', '468' ]
finished   (474-0:0) [] [ '474', '475' ]
finished   (476-0:0) [] [ '476', '475' ]
finished   (472-1:0) [] [ '472', '125' ]
finished   (224-1:0) [] [ '224', '352' ]
finished   (187-1:0) [] [ '187', '205' ]
finished   (210-0:0) [] [ '210', '477' ]
finished   (210-1:0) [] [ '210', '477' ]
finished   (371-1:0) [] [ '371', '205' ]
finished   (478-0:0) [] [ '478', '479' ]
finished   (480-0:0) [] [ '480', '481' ]
finished   (482-0:0) [] [ '482', '483' ]
finished   (383-2:0) [] [ '383', '483' ]
finished   (481-0:0) [] [ '481', '483' ]
finished   (162-1:0) [] [ '162', '287' ]
finished   (161-1:0) [] [ '161', '287' ]
finished   (161-2:0) [] [ '161', '287' ]
finished   (6-2:0) [] [ '6', '7' ]
finished   (484-0:0) [] [ '484', '485' ]
finished   (486-0:0) [] [ '486', '487' ]
finished   (488-0:0) [] [ '488', '489' ]
finished   (490-0:0) [] [ '490', '491' ]
finished   (492-0:0) [] [ '492', '491' ]
finished   (493-0:0) [] [ '493', '491' ]
finished   (167-1:0) [] [ '167', '218' ]
finished   (489-0:0) [] [ '489', '274' ]
finished   (489-1:0) [] [ '489', '270' ]
finished   (484-1:0) [] [ '484', '348' ]
finished   (285-1:0) [] [ '285', '494' ]
finished   (308-1:0) [] [ '308', '485' ]
finished   (348-2:0) [] [ '348', '308' ]
finished   (348-3:0) [] [ '348', '308' ]
finished   (495-0:0) [] [ '495', '58' ]
finished   (468-0:0) [] [ '468', '188' ]
